run_id,universe_size,bond_id,rating_bucket,epsilon,n_dealers,br_slope,sinkhorn_wasserstein_tau_shift,dlambda_informed_ddelta,h_tail_mean,h_tail_std,tau_tail_mean,q_tail_mean,hit_cap,stability_label,adversarial_regime,br_slope_z,sinkhorn_wasserstein_tau_shift_z,dlambda_informed_ddelta_z,h_tail_mean_z,h_tail_std_z,tau_tail_mean_z,q_tail_mean_z,stability_code,data_is_synthetic,primary_source
0,1,0,IG,0.05,1,-0.2051437145674848,0.0086153198653198,-0.0431148201888498,0.0168157576779672,0.0234445706545307,0.0485468975468975,-0.0071079953872358,False,stable,calm,-1.51557,-0.8803,1.08412,-1.42559,-1.50765,-1.63501,-0.24704,0,True,simulator_v1
1,1,0,IG,0.05,2,0.27209660684203,0.0142408239908239,-0.0305878525770037,0.0193853006916475,0.0258139640224643,0.0536326728826728,-1.0357876101142472e-05,False,stable,calm,2.07416,-0.64362,1.15924,-1.42424,-1.49263,-1.61767,0.03723,0,True,simulator_v1
2,1,0,IG,0.05,5,-0.4059239632079427,0.0040420412920412,-0.0194193046335308,0.0158253762085847,0.0164917048769761,0.0492790542790542,0.0065627517076089,False,stable,calm,-3.02581,-1.07272,1.22622,-1.42611,-1.55171,-1.63251,0.30049,0,True,simulator_v1
3,1,0,IG,0.05,10,-0.1903549125988164,0.0036018981018981,-0.0137383291240441,0.0159460219531424,0.0191161383117942,0.0478561808561808,0.0079164960684446,False,stable,calm,-1.40433,-1.09124,1.26028,-1.42605,-1.53508,-1.63736,0.35471,0,True,simulator_v1
4,1,0,IG,0.15,1,0.0126129240982262,0.0177247474747474,-0.128519704446296,0.0658332116544153,0.0691450917132531,0.1267966477966478,0.0170893823931634,False,oscillating,calm,0.12236,-0.49703,0.57197,-1.39982,-1.21801,-1.36827,0.72209,1,True,simulator_v1
5,1,0,IG,0.15,2,0.0214867703039609,0.011837912087912,-0.091238668798781,0.0592372722378749,0.067417448217581,0.1257323417323417,-0.0037829521343123,False,oscillating,calm,0.18911,-0.74472,0.79554,-1.40329,-1.22896,-1.3719,-0.11387,1,True,simulator_v1
6,1,0,IG,0.15,5,0.0854041107330425,0.0088129601879601,-0.0578227170579522,0.079975706360443,0.0933885692270197,0.1262911949161949,-0.0306507800461742,False,oscillating,calm,0.66988,-0.87199,0.99592,-1.39239,-1.06436,-1.37,-1.18996,1,True,simulator_v1
7,1,0,IG,0.15,10,-0.0428019422641879,0.0098428885928885,-0.0410235050210814,0.0767821689934741,0.0860067379750217,0.1373577626077626,-0.0016049549661164,False,oscillating,calm,-0.29446,-0.82865,1.09666,-1.39407,-1.11114,-1.33227,-0.02664,1,True,simulator_v1
8,1,0,IG,0.25,1,0.0197388958803253,0.0288888888888888,-0.1510483627389585,2.3090027738593024,0.5035546241826345,0.4923333333333333,-0.0043441122123244,False,stable,normal,0.17596,-0.02731,0.43687,-0.22064,1.53517,-0.12225,-0.13635,0,True,simulator_v1
9,1,0,IG,0.25,2,0.0726626327670085,0.1139076479076479,-0.1334095820736595,1.3566876228346476,0.4661840873970665,0.3474766714766715,0.0001367793525127,False,oscillating,normal,0.57404,3.54977,0.54265,-0.72125,1.29832,-0.61603,0.04312,1,True,simulator_v1
10,1,0,IG,0.25,5,0.0457003063569682,0.0517266807266807,-0.09312712498961,0.541621871512744,0.3111546778200767,0.2251070133570133,-0.0032181521927723,False,oscillating,normal,0.37124,0.93357,0.78421,-1.14971,0.31579,-1.03316,-0.09125,1,True,simulator_v1
11,1,0,IG,0.25,10,-0.0162338632324539,0.011567192067192,-0.0669293013625837,0.6273984190340355,0.1995363117279761,0.2420469067969067,-0.0016234154997846,False,oscillating,normal,-0.09462,-0.75611,0.94131,-1.10462,-0.39162,-0.97541,-0.02738,1,True,simulator_v1
12,1,0,IG,0.35,1,0.0043320802147845,0.0315462962962962,-0.1941087698740994,3.2591883179640155,0.4901801683293686,0.6224841269841269,0.0006345980247368,False,stable,normal,0.06007,0.0845,0.17865,0.27885,1.45041,0.3214,0.06306,0,True,simulator_v1
13,1,0,IG,0.35,2,0.0244633077524974,0.0312182539682539,-0.1626849093624299,2.672513113821761,0.3869905685320515,0.5507142857142857,-0.0081131326310919,False,stable,normal,0.2115,0.07069,0.36709,-0.02955,0.79642,0.07675,-0.2873,0,True,simulator_v1
14,1,0,IG,0.35,5,0.0394230200672311,0.0157560495060495,-0.1246669777152077,1.2615007519344144,0.3300770860160565,0.338718956968957,-0.0071871293006158,False,oscillating,normal,0.32402,-0.57986,0.59508,-0.77129,0.43571,-0.64588,-0.25021,1,True,simulator_v1
15,1,0,IG,0.35,10,0.0805800769286333,0.0159912679912679,-0.0920587791612758,0.985368029321553,0.3467195826206322,0.2952926610426611,0.0040082903181828,False,oscillating,normal,0.6336,-0.56997,0.79062,-0.91645,0.54119,-0.79391,0.19818,1,True,simulator_v1
16,1,0,IG,0.45,1,-0.0307302689600213,0.0578174603174603,-0.2155250209659737,4.1255986304243,0.4194780449419742,0.7442777777777778,0.0007438299120579,False,stable,elevated,-0.20366,1.18983,0.05023,0.7343,1.00231,0.73656,0.06743,0,True,simulator_v1
17,1,0,IG,0.45,2,-0.0327783121321187,0.04475,-0.1871493635447657,3.681628333938793,0.393450079532174,0.6744603174603174,0.002964656942289,False,stable,elevated,-0.21907,0.64003,0.22039,0.50091,0.83735,0.49857,0.15638,0,True,simulator_v1
18,1,0,IG,0.45,5,0.0482295280006184,0.0242010582010582,-0.1518489525920733,2.172396217107316,0.3708414985252559,0.4681925204425204,-0.0013995667459638,False,stable,elevated,0.39026,-0.22455,0.43207,-0.29245,0.69407,-0.20454,-0.01841,0,True,simulator_v1
19,1,0,IG,0.45,10,-0.0276568254938026,0.0114249775279187,-0.1139528866773743,1.8126586623765888,0.2321648010630692,0.4137326143355555,0.0057173119704717,False,stable,elevated,-0.18054,-0.76209,0.65933,-0.48156,-0.18483,-0.39018,0.26663,0,True,simulator_v1
20,1,0,IG,0.55,1,0.0118114286606537,0.0206124338624338,-0.2621837683858669,4.086014434767201,0.4650996045055265,0.7325185185185185,-0.0067650861040658,False,stable,elevated,0.11633,-0.37554,-0.22957,0.71349,1.29145,0.69648,-0.23331,0,True,simulator_v1
21,1,0,IG,0.55,2,0.0359682028294404,0.0611203703703703,-0.2101455637902624,4.4123483215671495,0.4283379426982707,0.7944126984126985,-0.0100631474881807,False,stable,elevated,0.29803,1.3288,0.08248,0.88504,1.05847,0.90746,-0.3654,0,True,simulator_v1
22,1,0,IG,0.55,5,0.0402482909102345,0.0462759092759092,-0.1736346632840804,3.03098043463322,0.3979767247943204,0.5843918951418952,0.019307750520482,False,stable,elevated,0.33023,0.70423,0.30143,0.15888,0.86604,0.19155,0.81094,0,True,simulator_v1
23,1,0,IG,0.55,10,0.0694865744427434,0.0323109668109668,-0.1377620636321155,2.005109363124611,0.3203419161019368,0.4473263588263588,-0.0073713029867231,False,stable,elevated,0.55015,0.11667,0.51655,-0.38039,0.37401,-0.27567,-0.25759,0,True,simulator_v1
24,1,0,IG,0.65,1,-0.0210186245250617,0.0132222222222222,-0.2786482746866676,4.70930833151797,0.349665956589575,0.8345000000000001,0.0067336413923738,False,stable,stress,-0.13061,-0.68647,-0.32831,1.04114,0.55986,1.04411,0.30733,0,True,simulator_v1
25,1,0,IG,0.65,2,-0.0547094908612967,0.0437751322751322,-0.2437340921055976,4.750384948668983,0.2998340692239041,0.8341626984126985,0.0013092834147475,False,stable,stress,-0.38403,0.59901,-0.11894,1.06273,0.24404,1.04296,0.09008,0,True,simulator_v1
26,1,0,IG,0.65,5,0.0037519923890317,0.0383171273171273,-0.1979741529084906,3.5831940633945623,0.326985454180166,0.6623994708994708,-0.0078755671933752,False,stable,stress,0.05571,0.36937,0.15547,0.44917,0.41612,0.45746,-0.27778,0,True,simulator_v1
27,1,0,IG,0.65,10,0.0417939379243235,0.0192416749916749,-0.157578916066642,2.7510479609585228,0.2934154379485039,0.5432383634883635,-0.0115695838678909,False,stable,stress,0.34186,-0.43321,0.39771,0.01173,0.20336,0.05127,-0.42573,0,True,simulator_v1
28,1,0,IG,0.75,1,-0.0803090242111799,0.0187156084656084,-0.309242147201536,4.9599311317262735,0.2965573775079014,0.8643015873015872,-0.0013455580724883,False,stable,stress,-0.57659,-0.45534,-0.51177,1.17289,0.22327,1.14569,-0.01625,0,True,simulator_v1
29,1,0,IG,0.75,2,0.040898177062626,0.0339656084656084,-0.280690948346652,4.864300557263327,0.3830522747445163,0.8510952380952381,0.0023648422396247,False,stable,stress,0.33512,0.18629,-0.34056,1.12262,0.77146,1.10068,0.13236,0,True,simulator_v1
30,1,0,IG,0.75,5,0.0336198149199655,0.0187457079957079,-0.2225828997912597,4.122864373662261,0.2919955886338086,0.7373207995707995,-0.018541059703371,False,stable,stress,0.28037,-0.45408,0.0079,0.73286,0.19436,0.71285,-0.70495,0,True,simulator_v1
31,1,0,IG,0.75,10,-0.0508701870380043,0.0188533503533503,-0.1795400749184942,2.993685357701336,0.2055236840589451,0.5741960215710216,0.0097979017367402,False,stable,stress,-0.35515,-0.44955,0.26602,0.13928,-0.35368,0.1568,0.43006,0,True,simulator_v1
32,1,0,IG,0.85,1,-0.0259837039308147,0.0099025974025974,-0.3575347861138047,4.916368277852918,0.3376417055933756,0.8583888888888889,-0.0065778020793962,False,stable,crisis,-0.16796,-0.82614,-0.80137,1.14999,0.48366,1.12554,-0.22581,0,True,simulator_v1
33,1,0,IG,0.85,2,-0.0088859566694531,0.0269199134199134,-0.3081855629961431,5.113437658850077,0.2845134210128466,0.8831653439153441,-0.003628031075845,True,collapsed_saturated,crisis,-0.03935,-0.11015,-0.50543,1.25358,0.14694,1.21,-0.10767,2,True,simulator_v1
34,1,0,IG,0.85,5,0.0683094385903095,0.049802244052244,-0.2484458121253806,4.287807007456379,0.3568880487432345,0.7724523162023161,-0.0028875075438795,False,stable,crisis,0.5413,0.8526,-0.14719,0.81957,0.60563,0.8326,-0.07801,0,True,simulator_v1
35,1,0,IG,0.85,10,-0.0417905161350475,0.0281994856994856,-0.1973475116707778,3.55941216174238,0.2106013550056587,0.6654224294224295,-0.026297882742227,False,stable,crisis,-0.28685,-0.05632,0.15923,0.43667,-0.3215,0.46777,-1.01562,0,True,simulator_v1
36,1,0,IG,0.95,1,-0.022948255556399,0.0285608465608465,-0.3824505925621763,5.206531536055167,0.2931100737044832,0.899857142857143,-0.0033685912702429,True,collapsed_saturated,crisis,-0.14513,-0.04111,-0.95078,1.30252,0.20142,1.26689,-0.09727,2,True,simulator_v1
37,1,0,IG,0.95,2,-0.0114688614437174,0.0142055352055352,-0.3374159784304077,5.2627348329806605,0.2161327642614598,0.8989060846560847,0.0031691144821737,True,collapsed_saturated,crisis,-0.05878,-0.6451,-0.68072,1.33206,-0.28644,1.26365,0.16457,2,True,simulator_v1
38,1,0,IG,0.95,5,0.0300261799212163,0.0694269619269619,-0.2678767459523603,4.851272125030985,0.2475208275650837,0.8495595238095237,-0.0152804899616585,False,stable,crisis,0.25334,1.67829,-0.26371,1.11577,-0.08751,1.09544,-0.57436,0,True,simulator_v1
39,1,0,IG,0.95,10,0.0255935620382019,0.0271161338661338,-0.2190512180813398,3.800841414557902,0.2528821765565675,0.70051369001369,0.0004815945002282,False,stable,crisis,0.22,-0.1019,0.02908,0.56358,-0.05353,0.58738,0.05693,0,True,simulator_v1
40,5,0,HY,0.05,1,-0.0428469922156575,0.0098373015873015,-0.0209759136396446,0.0251700867172596,0.0417120671766202,0.0415357142857142,0.0526878064849997,False,stable,calm,-0.2948,-0.82889,1.21688,-1.4212,-1.39187,-1.65891,2.14785,0,True,simulator_v1
41,5,1,HY,0.05,1,-0.4984886407870491,0.0114197931697931,-0.0378247492469852,0.0169404268861742,0.018731693255722,0.0493995911495911,-0.010338863258898,False,stable,calm,-3.72207,-0.76231,1.11584,-1.42553,-1.53752,-1.6321,-0.37644,0,True,simulator_v1
42,5,2,IG,0.05,1,-0.2687345177503449,0.011300322770911,-0.0680479764248569,0.0123687127722847,0.009195446692068,0.0509622765578648,-0.0309177546746871,False,stable,calm,-1.99389,-0.76733,0.9346,-1.42793,-1.59796,-1.62677,-1.20065,0,True,simulator_v1
43,5,3,HY,0.05,1,-0.218567631256218,0.0046259018759018,-0.0331567874565946,0.0259203162780726,0.0399299574911862,0.0558994708994708,0.0711851731208177,False,stable,calm,-1.61655,-1.04815,1.14384,-1.42081,-1.40317,-1.60994,2.8887,0,True,simulator_v1
44,5,4,IG,0.05,1,-0.2014712203432658,0.0127566507566507,-0.0396947862896187,0.0158605888538177,0.0178477296466969,0.0434351851851851,-0.0101480016922027,False,stable,calm,-1.48795,-0.70606,1.10463,-1.42609,-1.54312,-1.65243,-0.3688,0,True,simulator_v1
45,5,0,HY,0.05,2,-0.0045179366109397,0.011063492063492,-0.0148048247482403,0.0417317030888092,0.0800173541581225,0.053531746031746,-0.0551003278966421,False,oscillating,calm,-0.0065,-0.7773,1.25389,-1.41249,-1.1491,-1.61802,-2.16919,1,True,simulator_v1
46,5,1,HY,0.05,2,-0.0927479150895412,0.0099196729196729,-0.0266691724845727,0.022618331090439,0.0349682847984287,0.0536724386724386,0.0333932449286568,False,stable,calm,-0.67015,-0.82542,1.18274,-1.42254,-1.43461,-1.61754,1.37508,0,True,simulator_v1
47,5,2,IG,0.05,2,0.2570680939699045,0.0033981452270925,-0.0481653039723768,0.0136323261868854,0.0138556810091721,0.0488280251883193,-0.0749341078961156,False,stable,calm,1.96112,-1.09981,1.05384,-1.42726,-1.56842,-1.63405,-2.96356,0,True,simulator_v1
48,5,3,HY,0.05,2,0.3223479009944619,0.0296678691678691,-0.0235693696276373,0.0181272856210499,0.029350087736728,0.0350491822991822,-0.0123802492028453,False,stable,calm,2.45214,0.00546,1.20133,-1.4249,-1.47022,-1.68102,-0.4582,0,True,simulator_v1
49,5,4,IG,0.05,2,0.2393252557865021,0.0078278388278388,-0.0280542155463938,0.0218344300850405,0.0318078692970018,0.0517891922891922,0.0085854505296355,False,stable,calm,1.82766,-0.91344,1.17444,-1.42295,-1.45464,-1.62396,0.3815,0,True,simulator_v1
50,5,0,HY,0.05,5,-0.1123526216981152,0.0073386243386243,-0.0094653130653349,0.0284980894517093,0.0485106990401378,0.0476243386243386,0.0016481883690347,False,stable,calm,-0.81761,-0.93402,1.28591,-1.41945,-1.34879,-1.63815,0.10365,0,True,simulator_v1
51,5,1,HY,0.05,5,-0.1096498332407976,0.0142830687830687,-0.0169753131335646,0.0150058168721562,0.0175908686417327,0.0377436267436267,0.0298302906052622,False,stable,calm,-0.79728,-0.64184,1.24087,-1.42654,-1.54475,-1.67183,1.23238,0,True,simulator_v1
52,5,2,IG,0.05,5,-0.2821059822563695,0.0132813422960481,-0.0305501070867277,0.0113124307203665,0.0062632061395162,0.0429745850554674,0.0164658002530521,False,stable,calm,-2.09447,-0.68398,1.15947,-1.42848,-1.61654,-1.654,0.69712,0,True,simulator_v1
53,5,3,HY,0.05,5,-0.2367097019270806,0.0060121452621452,-0.0149995493760577,0.0174381223515158,0.0206313951492901,0.0423534151034151,-0.0380578835751158,False,stable,calm,-1.75301,-0.98983,1.25272,-1.42526,-1.52548,-1.65612,-1.48662,0,True,simulator_v1
54,5,4,IG,0.05,5,0.109221498051131,0.0117893217893217,-0.0178160135515459,0.0152443393644971,0.0176745867841042,0.0438112073112073,0.0031148073144052,False,stable,calm,0.84904,-0.74676,1.23583,-1.42642,-1.54422,-1.65115,0.16239,0,True,simulator_v1
55,5,0,HY,0.05,10,0.0717711318160707,0.0171613756613756,-0.006703778538501,0.03046677570921,0.0563001836307418,0.0471560846560846,-0.0554438406983716,False,oscillating,calm,0.56734,-0.52074,1.30247,-1.41842,-1.29942,-1.63975,-2.18295,1,True,simulator_v1
56,5,1,HY,0.05,10,0.0139001761507406,0.006337098087098,-0.0120071432756373,0.0204719999726702,0.0294101255718085,0.0491002423502423,-0.0210867557253076,False,stable,calm,0.13204,-0.97616,1.27067,-1.42367,-1.46984,-1.63312,-0.80691,0,True,simulator_v1
57,5,2,IG,0.05,10,0.227887287120005,0.0059285584413293,-0.0215846269740047,0.0147949701097654,0.0178540123882553,0.0518427479383361,-0.0415650014405685,False,stable,calm,1.74162,-0.99335,1.21323,-1.42665,-1.54308,-1.62377,-1.62709,0,True,simulator_v1
58,5,3,HY,0.05,10,0.1436386807538328,0.018079365079365,-0.0105999213326594,0.0245878038699115,0.0374887982426219,0.0545608465608465,0.0159239046825768,False,stable,calm,1.10792,-0.48211,1.2791,-1.42151,-1.41864,-1.61451,0.67541,0,True,simulator_v1
59,5,4,IG,0.05,10,-0.151166952320062,0.0071441428941428,-0.0126177459057714,0.0162300741632576,0.0189447060471633,0.0488006253006253,0.0041972085276078,False,stable,calm,-1.10957,-0.9422,1.267,-1.4259,-1.53617,-1.63414,0.20575,0,True,simulator_v1
60,5,0,HY,0.15,1,0.1679718604598607,0.0208542568542568,-0.0583584046724081,0.2263256212259545,0.3588719957657995,0.1474285714285714,0.0395159882604501,False,oscillating,calm,1.29095,-0.36536,0.99271,-1.31546,0.61821,-1.29795,1.62031,1,True,simulator_v1
61,5,1,HY,0.15,1,0.0940842247374854,0.0099644892144892,-0.1108534354704951,0.0975802736156015,0.1238326702065236,0.1298196895696895,-0.0355937134302848,False,oscillating,calm,0.73517,-0.82354,0.67791,-1.38314,-0.87141,-1.35797,-1.38793,1,True,simulator_v1
62,5,2,IG,0.15,1,0.0908058175784709,0.0206854050948478,-0.2000173350346821,0.100620704584278,0.1003593760903885,0.1511746392725494,-0.0025767245760473,False,oscillating,calm,0.71052,-0.37247,0.14322,-1.38154,-1.02018,-1.28518,-0.06556,1,True,simulator_v1
63,5,3,HY,0.15,1,0.0718581448608394,0.0229681337181337,-0.097267450957583,0.2112522187188575,0.1798597635838011,0.1441406926406926,-0.1198038478002466,False,oscillating,calm,0.56799,-0.27642,0.75938,-1.32338,-0.51633,-1.30915,-4.76065,1,True,simulator_v1
64,5,4,IG,0.15,1,0.0632106873897372,0.0198824138824138,-0.1176548730611149,0.0699266641128314,0.0784618133586269,0.1260845913345913,-0.00808057306824,False,oscillating,calm,0.50295,-0.40625,0.63713,-1.39767,-1.15896,-1.3707,-0.286,1,True,simulator_v1
65,5,0,HY,0.15,2,-0.1811799670039438,0.0070436507936507,-0.0443565318049116,0.1351678957874012,0.1238065392256779,0.1386137566137566,0.041459100125031,False,oscillating,calm,-1.33532,-0.94643,1.07668,-1.36338,-0.87158,-1.32799,1.69813,1,True,simulator_v1
66,5,1,HY,0.15,2,0.0557809522947913,0.0242511655011655,-0.0795278939338846,0.0915082100464379,0.0899108297755455,0.1355209235209235,-0.0037494252332186,False,oscillating,calm,0.44706,-0.22244,0.86576,-1.38633,-1.0864,-1.33854,-0.11253,1,True,simulator_v1
67,5,2,IG,0.15,2,0.0523265314163101,0.0090586497409252,-0.1430767827235646,0.0920766750128961,0.0850114546187452,0.146174289490466,-0.0155635737725648,False,oscillating,calm,0.42108,-0.86165,0.48468,-1.38603,-1.11745,-1.30222,-0.5857,1,True,simulator_v1
68,5,3,HY,0.15,2,-0.169556214273232,0.0157366522366522,-0.0701017270552136,0.1407966666925936,0.1114971896939073,0.143280784030784,-0.0772312687069506,False,oscillating,calm,-1.24789,-0.58068,0.92229,-1.36042,-0.94959,-1.31208,-3.05557,1,True,simulator_v1
69,5,4,IG,0.15,2,0.0780705887578378,0.0309538609538609,-0.0831429144018387,0.1388851236932093,0.1282580760563214,0.1542053872053872,0.0012873663288984,False,oscillating,calm,0.61472,0.05957,0.84408,-1.36142,-0.84337,-1.27484,0.0892,1,True,simulator_v1
70,5,0,HY,0.15,5,0.061819187284987,0.0194563492063492,-0.027914727405743,0.2229921079202433,0.2302701076233897,0.1502539682539682,0.1017469133188307,False,oscillating,calm,0.49248,-0.42418,1.17527,-1.31721,-0.19684,-1.28831,4.11273,1,True,simulator_v1
71,5,1,HY,0.15,5,0.0070305587021607,0.0088165168165168,-0.0505664449196458,0.1124258112044223,0.1096310083596556,0.1437237854737854,-0.0090372321667492,False,oscillating,calm,0.08037,-0.87184,1.03944,-1.37533,-0.96142,-1.31057,-0.32431,1,True,simulator_v1
72,5,2,IG,0.15,5,0.0484247774368024,0.0129595767330489,-0.0909921124676442,0.0947611396219974,0.0858218640629818,0.1460123285284982,0.0126419836892964,False,oscillating,calm,0.39173,-0.69752,0.79701,-1.38462,-1.11232,-1.30277,0.54397,1,True,simulator_v1
73,5,3,HY,0.15,5,0.1088325518476328,0.0099391534391534,-0.0443087759465582,0.1553274580702442,0.1741292163779322,0.1411370851370851,0.0173231013805897,False,oscillating,calm,0.84611,-0.8246,1.07696,-1.35278,-0.55265,-1.31939,0.73145,1,True,simulator_v1
74,5,4,IG,0.15,5,0.1375931803411942,0.0174193121693121,-0.0530366513009111,0.0946052221432804,0.1060688210110495,0.1289026529026529,0.0074963742796463,False,oscillating,calm,1.06244,-0.50988,1.02462,-1.3847,-0.984,-1.3611,0.33788,1,True,simulator_v1
75,5,0,HY,0.15,10,-0.0711409263132992,0.0174788359788359,-0.0200042172883093,0.1323457362343895,0.1487146714418332,0.1303902116402116,-0.0597117678770527,False,oscillating,calm,-0.50762,-0.50738,1.22271,-1.36486,-0.71372,-1.35602,-2.35389,1,True,simulator_v1
76,5,1,HY,0.15,10,-0.0428508874387225,0.0167666685166685,-0.0358635608915716,0.0588308341673225,0.0785664524632078,0.1193047508047508,0.0029218515571852,False,oscillating,calm,-0.29483,-0.53734,1.12761,-1.40351,-1.1583,-1.39381,0.15467,1,True,simulator_v1
77,5,2,IG,0.15,10,0.0493968766720944,0.0112028744389425,-0.0646260137600036,0.0542592085001539,0.0594775788893834,0.125200533656803,0.0307688116853406,False,oscillating,calm,0.39904,-0.77143,0.95512,-1.40591,-1.27928,-1.37371,1.26997,1,True,simulator_v1
78,5,3,HY,0.15,10,-0.0161351901193193,0.0169306619306619,-0.0316736812365825,0.1203754723194997,0.109305101865613,0.1365513005513005,-0.0158748570046002,False,oscillating,calm,-0.09388,-0.53044,1.15273,-1.37115,-0.96349,-1.33502,-0.59817,1,True,simulator_v1
79,5,4,IG,0.15,10,0.0908999299490834,0.009598013098013,-0.0376258050946254,0.0672192943856104,0.0922146331715379,0.1219263236763236,0.0102829927299267,False,oscillating,calm,0.71122,-0.83896,1.11704,-1.3991,-1.0718,-1.38488,0.44949,1,True,simulator_v1
80,5,0,HY,0.25,1,0.0479435720141653,0.0514047619047619,-0.0841930889679212,1.5714403389103528,0.5904627772627374,0.3664206349206349,0.0332399072601094,False,oscillating,normal,0.38811,0.92002,0.83779,-0.60836,2.08597,-0.55146,1.36894,1,True,simulator_v1
81,5,1,HY,0.25,1,0.0334294709676864,0.1715410052910053,-0.1569715233952705,1.114433355616831,0.3895631047456582,0.3098002645502645,0.0116978846740937,False,oscillating,normal,0.27894,5.97465,0.40135,-0.8486,0.81272,-0.74446,0.50616,1,True,simulator_v1
82,5,2,IG,0.25,1,-0.010279735835247,0.0211375661375661,-0.2036279044747646,3.4893483001529884,0.4424871083292728,0.6547777777777778,-0.0073922631270747,False,stable,normal,-0.04984,-0.35344,0.12157,0.39984,1.14814,0.43148,-0.25843,0,True,simulator_v1
83,5,3,HY,0.25,1,-0.0068541699865271,0.0522936507936507,-0.1259486851604245,1.8874783281184349,0.4293649419090293,0.4165,0.0301463241137473,False,stable,normal,-0.02407,0.95742,0.58739,-0.44223,1.06497,-0.38075,1.24504,0,True,simulator_v1
84,5,4,IG,0.25,1,-0.0019822230754929,0.051595238095238,-0.1441058284595579,2.233252397736832,0.4478587183484241,0.4813518518518518,0.0014855806622471,False,stable,normal,0.01258,0.92804,0.47851,-0.26046,1.18218,-0.15968,0.09714,0,True,simulator_v1
85,5,0,HY,0.25,2,0.0500043901452185,0.0356825396825396,-0.0707290015892736,0.4927045950897241,0.331216468181062,0.2108928571428571,-0.0555806876860327,False,oscillating,normal,0.40361,0.25853,0.91853,-1.17543,0.44293,-1.08161,-2.18843,1,True,simulator_v1
86,5,1,HY,0.25,2,0.0394448308430606,0.0671141913641913,-0.1284333584046563,0.4282592237704436,0.2427081794573017,0.2082117142117142,0.0184128815014594,False,oscillating,normal,0.32419,1.58098,0.57249,-1.20931,-0.11801,-1.09075,0.7751,1,True,simulator_v1
87,5,2,IG,0.25,2,0.1202872178481917,0.0140139166389166,-0.2098153220282803,1.3397811949952223,0.5998878164336927,0.3380550421800422,-0.0063150045728443,False,oscillating,normal,0.93227,-0.65316,0.08446,-0.73014,2.14571,-0.64815,-0.21528,1,True,simulator_v1
88,5,3,HY,0.25,2,-0.011257101012763,0.026339947089947,-0.1031961447484028,1.342097176193208,0.3433387133773281,0.3369828042328042,0.0010230993648306,False,oscillating,normal,-0.05719,-0.13456,0.72383,-0.72892,0.51976,-0.6518,0.07862,1,True,simulator_v1
89,5,4,IG,0.25,2,-0.0009342665852014,0.058816859066859,-0.1252297348560842,1.0128556417563903,0.3003724595653091,0.3039351851851852,-0.0002568232323166,False,oscillating,normal,0.02046,1.23188,0.5917,-0.902,0.24745,-0.76445,0.02736,1,True,simulator_v1
90,5,0,HY,0.25,5,0.0269831894292844,0.0160796055796055,-0.0459330101958758,0.5394815779543395,0.3068288002282615,0.219592833092833,0.0250046763952019,False,oscillating,normal,0.23045,-0.56625,1.06722,-1.15084,0.28837,-1.05196,1.03911,1,True,simulator_v1
91,5,1,HY,0.25,5,0.0637529270444745,0.0142829485329485,-0.0825360516699537,0.5037193544142924,0.2987470203623082,0.2242021404521404,-0.0183968368306297,False,oscillating,normal,0.50703,-0.64184,0.84772,-1.16964,0.23715,-1.03624,-0.69917,1,True,simulator_v1
92,5,2,IG,0.25,5,-0.0534092264167792,0.0180413704086304,-0.146296279468032,0.636100418695174,0.1411348530376544,0.2397389638941496,-0.0210965579292501,False,stable,normal,-0.37425,-0.48371,0.46537,-1.10005,-0.76176,-0.98328,-0.8073,0,True,simulator_v1
93,5,3,HY,0.25,5,1.0975906554617784e-05,0.0550607355607355,-0.0703361311158969,1.003183690536442,0.3110940690644326,0.2836725589225589,0.0948485778959874,False,oscillating,normal,0.02757,1.07385,0.92088,-0.90708,0.3154,-0.83352,3.83644,1,True,simulator_v1
94,5,4,IG,0.25,5,-0.090740321961479,0.0317504717504717,-0.0872816107503017,0.3665317132372283,0.1636696873666746,0.2110374347874347,0.0003735762462099,False,oscillating,normal,-0.65505,0.09309,0.81927,-1.24175,-0.61894,-1.08112,0.0526,1,True,simulator_v1
95,5,0,HY,0.25,10,0.0111563482814319,0.0320304232804232,-0.0326942068531767,0.6404625214589483,0.3132124983754095,0.2341706349206349,-0.0165216709838091,False,oscillating,normal,0.1114,0.10487,1.14661,-1.09776,0.32883,-1.00226,-0.62407,1,True,simulator_v1
96,5,1,HY,0.25,10,-0.0173856355538627,0.0360234765234765,-0.0587844040168727,0.5342139929915383,0.2284109135516319,0.2340908165908166,-0.0112757535618812,False,oscillating,normal,-0.10329,0.27287,0.99016,-1.15361,-0.20862,-1.00254,-0.41397,1,True,simulator_v1
97,5,2,IG,0.25,10,-0.0544389114600427,0.0121662377297052,-0.105911173171305,0.4499714461000918,0.1243993046617495,0.2156280205862249,-0.0168662145246705,False,oscillating,normal,-0.38199,-0.7309,0.70755,-1.19789,-0.86782,-1.06547,-0.63787,1,True,simulator_v1
98,5,3,HY,0.25,10,0.0562454240993181,0.0231843804343804,-0.0514884408662277,0.6986308748817568,0.3135596592498131,0.2408435915935915,-0.014343565002796,False,oscillating,normal,0.45056,-0.26732,1.03391,-1.06718,0.33103,-0.97952,-0.53684,1,True,simulator_v1
